,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2084,0.51,0.417,-7.583,0.0263,0.111,6.36e-05,0.116,0.145,148.01
2085,0.568,0.815,-6.132,0.0384,0.000859,0.00409,0.0991,0.273,105.962
2086,0.66,0.657,-5.481,0.0288,0.000128,0.00108,0.107,0.597,127.982
2087,0.569,0.712,-6.036,0.0538,0.000614,9.27e-06,0.087,0.403,126.004
2088,0.505,0.468,-8.243,0.0292,0.0172,0.0,0.0852,0.126,138.022
2089,0.352,0.732,-4.731,0.0292,0.000592,0.000202,0.142,0.384,83.927
2090,0.366,0.459,-5.77,0.0272,0.0544,0.0,0.082,0.195,139.277
2091,0.532,0.683,-5.278,0.0262,0.000546,0.0,0.0911,0.549,96.05
2092,0.559,0.696,-5.942,0.0264,0.0056,0.000162,0.288,0.426,99.518
2093,0.482,0.871,-4.61,0.0455,4.02e-05,4.14e-06,0.323,0.741,134.047
2094,0.499,0.896,-4.076,0.0697,4.39e-05,0.00014,0.146,0.572,130.064
2095,0.618,0.691,-5.222,0.0717,0.00561,1.67e-06,0.0902,0.522,113.951
2096,0.378,0.645,-6.123,0.0322,0.00162,0.0,0.0879,0.254,171.934
2097,0.536,0.941,-4.641,0.0504,0.00293,0.0,0.268,0.582,131.951
2098,0.356,0.945,-5.554,0.0572,0.00153,0.00141,0.0905,0.206,174.937
2099,0.39,0.795,-5.639,0.0353,0.0167,0.0,0.171,0.327,161.617
2100,0.438,0.622,-6.051,0.0277,0.0238,0.0,0.182,0.359,92.72
2101,0.338,0.808,-5.583,0.051,0.00817,0.0,0.26,0.415,144.289
2102,0.36,0.874,-5.239,0.0389,0.000904,0.0,0.0923,0.326,179.826
2103,0.551,0.916,-4.133,0.0769,0.000541,0.0,0.219,0.508,129.923
2104,0.487,0.706,-6.365,0.0357,0.0141,0.0,0.0873,0.322,137.945
2105,0.456,0.802,-5.652,0.0341,0.00387,0.0,0.164,0.605,142.628
2106,0.544,0.969,-4.117,0.0483,0.000539,0.00231,0.093,0.509,105.934
2107,0.5,0.899,-4.066,0.0736,4.84e-05,0.000198,0.0794,0.566,130.06
2108,0.617,0.688,-5.208,0.0716,0.00763,0.0,0.0786,0.52,113.957
2109,0.377,0.666,-6.12,0.0326,0.00154,0.0,0.114,0.263,171.747
2110,0.532,0.943,-4.644,0.0498,0.00293,0.0,0.286,0.595,131.954
2111,0.356,0.94,-5.582,0.0587,0.0012,0.000919,0.0915,0.216,174.92
2112,0.39,0.805,-5.621,0.0365,0.0167,0.0,0.146,0.356,161.669
2113,0.441,0.621,-6.034,0.0278,0.0217,0.0,0.18,0.346,92.787
2114,0.33,0.826,-5.54,0.0544,0.00717,0.0,0.343,0.388,144.216
2115,0.365,0.87,-5.234,0.0429,0.00106,0.0,0.0959,0.379,179.893
2116,0.547,0.911,-4.124,0.0753,0.000533,0.0,0.212,0.524,129.878
2117,0.484,0.702,-6.394,0.036,0.0168,0.0,0.0956,0.31,137.956
2118,0.46,0.799,-5.63,0.0334,0.00393,0.0,0.163,0.607,142.547
2119,0.537,0.885,-3.641,0.0343,0.0437,0.0,0.274,0.802,131.698
2120,0.52,0.793,-4.348,0.0532,0.00991,0.00106,0.19,0.356,123.983
2121,0.511,0.939,-4.162,0.079,0.00849,4.4e-06,0.0532,0.525,105.993
2122,0.46,0.756,-5.474,0.0339,0.00177,3.53e-06,0.0931,0.441,89.048
2123,0.471,0.732,-4.569,0.0308,0.234,0.0,0.0949,0.388,87.936
2124,0.486,0.883,-4.201,0.055,0.0133,8.81e-06,0.0924,0.439,111.046
2125,0.453,0.572,-5.669,0.0296,0.13,0.0,0.145,0.249,133.986
